VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2025,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2030,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2035,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2040,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2045,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GRLignite,2050,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2023,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2025,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2030,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2035,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2040,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2045,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,GROil,2050,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2023,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2025,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2030,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2035,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2040,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2045,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Demand,2050,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2023,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2025,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2030,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2035,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2040,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2045,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Storage,2050,0.0
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2023,-27.581613792137237
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2025,-37.50508161956012
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2030,-24.998886698326924
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2035,-17.378806985056393
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2040,-10.583196508594277
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2045,-6.723211077379755
InterDiscountedTradeCost,EL54,ALBANIA,Elec_Transmission,2050,-5.91749697298369
InterDiscountedTradeCost,EL54,ALBANIA,GRBiomass,2023,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRBiomass,2025,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRBiomass,2030,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRBiomass,2035,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRBiomass,2040,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRBiomass,2045,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRBiomass,2050,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRGas,2023,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRGas,2025,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRGas,2030,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRGas,2035,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRGas,2040,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRGas,2045,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRGas,2050,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRLignite,2023,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRLignite,2025,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRLignite,2030,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRLignite,2035,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRLignite,2040,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRLignite,2045,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GRLignite,2050,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GROil,2023,0.0
InterDiscountedTradeCost,EL54,ALBANIA,GROil,2025,0.0
