REGION,FUEL,TIMESLICE,YEAR,VALUE
Greece,Elec_Demand,m3_d5_t21,2023,0.000646746
Greece,Elec_Demand,m3_d5_t22,2023,0.000598615
Greece,Elec_Demand,m3_d5_t23,2023,0.000552418
Greece,Elec_Demand,m3_d5_t24,2023,0.000536676
Greece,Elec_Demand,m4_d1_t1,2023,9.07E-05
Greece,Elec_Demand,m4_d1_t2,2023,9.03E-05
Greece,Elec_Demand,m4_d1_t3,2023,9.31E-05
Greece,Elec_Demand,m4_d1_t4,2023,9.97E-05
Greece,Elec_Demand,m4_d1_t5,2023,0.00011233
Greece,Elec_Demand,m4_d1_t6,2023,0.000121486
Greece,Elec_Demand,m4_d1_t7,2023,0.000128871
Greece,Elec_Demand,m4_d1_t8,2023,0.00012957
Greece,Elec_Demand,m4_d1_t9,2023,0.000131602
Greece,Elec_Demand,m4_d1_t10,2023,0.000132411
Greece,Elec_Demand,m4_d1_t11,2023,0.00013193
Greece,Elec_Demand,m4_d1_t12,2023,0.000127407
Greece,Elec_Demand,m4_d1_t13,2023,0.000123977
Greece,Elec_Demand,m4_d1_t14,2023,0.000120437
Greece,Elec_Demand,m4_d1_t15,2023,0.000121027
Greece,Elec_Demand,m4_d1_t16,2023,0.000123692
Greece,Elec_Demand,m4_d1_t17,2023,0.000129679
Greece,Elec_Demand,m4_d1_t18,2023,0.00014008
Greece,Elec_Demand,m4_d1_t19,2023,0.000137808
Greece,Elec_Demand,m4_d1_t20,2023,0.00012638
Greece,Elec_Demand,m4_d1_t21,2023,0.000115914
Greece,Elec_Demand,m4_d1_t22,2023,0.000105142
Greece,Elec_Demand,m4_d1_t23,2023,9.70E-05
Greece,Elec_Demand,m4_d1_t24,2023,9.34E-05
Greece,Elec_Demand,m4_d2_t1,2023,0
Greece,Elec_Demand,m4_d2_t2,2023,0
Greece,Elec_Demand,m4_d2_t3,2023,0
Greece,Elec_Demand,m4_d2_t4,2023,0
Greece,Elec_Demand,m4_d2_t5,2023,0
Greece,Elec_Demand,m4_d2_t6,2023,0
Greece,Elec_Demand,m4_d2_t7,2023,0
Greece,Elec_Demand,m4_d2_t8,2023,0
Greece,Elec_Demand,m4_d2_t9,2023,0
Greece,Elec_Demand,m4_d2_t10,2023,0
Greece,Elec_Demand,m4_d2_t11,2023,0
Greece,Elec_Demand,m4_d2_t12,2023,0
Greece,Elec_Demand,m4_d2_t13,2023,0
Greece,Elec_Demand,m4_d2_t14,2023,0
Greece,Elec_Demand,m4_d2_t15,2023,0
Greece,Elec_Demand,m4_d2_t16,2023,0
Greece,Elec_Demand,m4_d2_t17,2023,0
Greece,Elec_Demand,m4_d2_t18,2023,0
Greece,Elec_Demand,m4_d2_t19,2023,0
Greece,Elec_Demand,m4_d2_t20,2023,0
