REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
EL52,BiomassProduction,1,2023,4.96302617
EL52,BiomassProduction,1,2025,4.96302617
EL52,BiomassProduction,1,2030,4.96302617
EL52,BiomassProduction,1,2035,4.96302617
EL52,BiomassProduction,1,2040,4.96302617
EL52,BiomassProduction,1,2045,4.96302617
EL52,BiomassProduction,1,2050,4.96302617
EL53,BiomassProduction,1,2023,4.96302617
EL53,BiomassProduction,1,2025,4.96302617
EL53,BiomassProduction,1,2030,4.96302617
EL53,BiomassProduction,1,2035,4.96302617
EL53,BiomassProduction,1,2040,4.96302617
EL53,BiomassProduction,1,2045,4.96302617
EL53,BiomassProduction,1,2050,4.96302617
EL54,BiomassProduction,1,2023,4.96302617
EL54,BiomassProduction,1,2025,4.96302617
EL54,BiomassProduction,1,2030,4.96302617
EL54,BiomassProduction,1,2035,4.96302617
EL54,BiomassProduction,1,2040,4.96302617
EL54,BiomassProduction,1,2045,4.96302617
EL54,BiomassProduction,1,2050,4.96302617
EL61,BiomassProduction,1,2023,4.96302617
EL61,BiomassProduction,1,2025,4.96302617
EL61,BiomassProduction,1,2030,4.96302617
EL61,BiomassProduction,1,2035,4.96302617
EL61,BiomassProduction,1,2040,4.96302617
EL61,BiomassProduction,1,2045,4.96302617
EL61,BiomassProduction,1,2050,4.96302617
EL62,BiomassProduction,1,2023,4.96302617
EL62,BiomassProduction,1,2025,4.96302617
EL62,BiomassProduction,1,2030,4.96302617
EL62,BiomassProduction,1,2035,4.96302617
EL62,BiomassProduction,1,2040,4.96302617
EL62,BiomassProduction,1,2045,4.96302617
EL62,BiomassProduction,1,2050,4.96302617
EL63,BiomassProduction,1,2023,4.96302617
EL63,BiomassProduction,1,2025,4.96302617
EL63,BiomassProduction,1,2030,4.96302617
EL63,BiomassProduction,1,2035,4.96302617
EL63,BiomassProduction,1,2040,4.96302617
EL63,BiomassProduction,1,2045,4.96302617
EL63,BiomassProduction,1,2050,4.96302617
EL64,BiomassProduction,1,2023,4.96302617
EL64,BiomassProduction,1,2025,4.96302617
EL64,BiomassProduction,1,2030,4.96302617
EL64,BiomassProduction,1,2035,4.96302617
EL64,BiomassProduction,1,2040,4.96302617
EL64,BiomassProduction,1,2045,4.96302617
EL64,BiomassProduction,1,2050,4.96302617
EL30,BiomassProduction,1,2023,4.96302617
EL30,BiomassProduction,1,2025,4.96302617
EL30,BiomassProduction,1,2030,4.96302617
EL30,BiomassProduction,1,2035,4.96302617
EL30,BiomassProduction,1,2040,4.96302617
EL30,BiomassProduction,1,2045,4.96302617
EL30,BiomassProduction,1,2050,4.96302617
EL65,BiomassProduction,1,2023,4.96302617
EL65,BiomassProduction,1,2025,4.96302617
EL65,BiomassProduction,1,2030,4.96302617
EL65,BiomassProduction,1,2035,4.96302617
EL65,BiomassProduction,1,2040,4.96302617
EL65,BiomassProduction,1,2045,4.96302617
EL65,BiomassProduction,1,2050,4.96302617
EL51,CCGT,1,2023,0.69
EL51,CCGT,1,2025,0.69
EL51,CCGT,1,2030,0.69
EL51,CCGT,1,2035,0.69
EL51,CCGT,1,2040,0.69
EL51,CCGT,1,2045,0.69
EL51,CCGT,1,2050,0.69
EL52,CCGT,1,2023,0.69
EL52,CCGT,1,2025,0.69
EL52,CCGT,1,2030,0.69
EL52,CCGT,1,2035,0.69
EL52,CCGT,1,2040,0.69
EL52,CCGT,1,2045,0.69
EL52,CCGT,1,2050,0.69
EL53,CCGT,1,2023,0.69
EL53,CCGT,1,2025,0.69
EL53,CCGT,1,2030,0.69
