REGION,TECHNOLOGY,YEAR,VALUE
EL51,HydroStor,2040,2650
EL51,HydroStor,2045,2650
EL51,HydroStor,2050,2650
EL51,OCGT,2023,500
EL51,OCGT,2025,500
EL51,OCGT,2030,500
EL51,OCGT,2035,500
EL51,OCGT,2040,500
EL51,OCGT,2045,500
EL51,OCGT,2050,500
EL51,OffshoreWind,2023,3120
EL51,OffshoreWind,2025,2840
EL51,OffshoreWind,2030,2140
EL51,OffshoreWind,2035,1965
EL51,OffshoreWind,2040,1790
EL51,OffshoreWind,2045,1615
EL51,OffshoreWind,2050,1440
EL51,PV,2023,750
EL51,PV,2025,667
EL51,PV,2030,460
EL51,PV,2035,425
EL51,PV,2040,390
EL51,PV,2045,355
EL51,PV,2050,320
EL51,RooftopPV,2023,1255
EL51,RooftopPV,2025,1125
EL51,RooftopPV,2030,800
EL51,RooftopPV,2035,743
EL51,RooftopPV,2040,685
EL51,RooftopPV,2045,628
EL51,RooftopPV,2050,570
EL51,RoR,2023,3900
EL51,RoR,2025,3900
EL51,RoR,2030,3900
EL51,RoR,2035,3888
EL51,RoR,2040,3875
EL51,RoR,2045,3863
EL51,RoR,2050,3850
EL51,Wind,2023,1630
EL51,Wind,2025,1601
EL51,Wind,2030,1530
EL51,Wind,2035,1509
EL51,Wind,2040,1487
EL51,Wind,2045,1466
EL51,Wind,2050,1444
EL52,BackStop,2023,99999
EL52,BackStop,2025,99999
EL52,BackStop,2030,99999
EL52,BackStop,2035,99999
EL52,BackStop,2040,99999
EL52,BackStop,2045,99999
EL52,BackStop,2050,99999
EL52,Batteries_New,2023,359.2827058
EL52,Batteries_New,2025,311.3593197
EL52,Batteries_New,2030,317.3839866
EL52,Batteries_New,2035,306.440749
EL52,Batteries_New,2040,295.0258889
EL52,Batteries_New,2045,283.0305775
EL52,Batteries_New,2050,270.3097124
EL52,Biomass,2023,2387.5
EL52,Biomass,2025,2362.5
EL52,Biomass,2030,2300
EL52,Biomass,2035,2275
EL52,Biomass,2040,2250
EL52,Biomass,2045,2225
EL52,Biomass,2050,2200
EL52,Biomass_CCS,2023,5675
EL52,Biomass_CCS,2025,5450
EL52,Biomass_CCS,2030,5150
EL52,Biomass_CCS,2035,4913
EL52,Biomass_CCS,2040,4675
EL52,Biomass_CCS,2045,4438
EL52,Biomass_CCS,2050,4200
EL52,CCGT,2023,1000
EL52,CCGT,2025,1000
EL52,CCGT,2030,1000
EL52,CCGT,2035,1000
EL52,CCGT,2040,1000
EL52,CCGT,2045,1000
EL52,CCGT,2050,1000
EL52,Elec_Network,2023,994.51
EL52,Elec_Network,2025,994.51
EL52,Elec_Network,2030,994.51
EL52,Elec_Network,2035,994.51
EL52,Elec_Network,2040,994.51
