REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
EL64,Iron_III,CO2,1,2023,0.139575554
EL64,Iron_III,CO2,1,2025,0.139575554
EL64,Iron_III,CO2,1,2030,0.139575554
EL64,Iron_III,CO2,1,2035,0.139575554
EL64,Iron_III,CO2,1,2040,0.139575554
EL64,Iron_III,CO2,1,2045,0.139575554
EL64,Iron_III,CO2,1,2050,0.139575554
EL64,IronII_CCGT,CO2,1,2023,0.0895
EL64,IronII_CCGT,CO2,1,2025,0.0895
EL64,IronII_CCGT,CO2,1,2030,0.0895
EL64,IronII_CCGT,CO2,1,2035,0.0895
EL64,IronII_CCGT,CO2,1,2040,0.0895
EL64,IronII_CCGT,CO2,1,2045,0.0895
EL64,IronII_CCGT,CO2,1,2050,0.0895
KARPATHOS,Karpathos,CO2,1,2023,0.192411146
KARPATHOS,Karpathos,CO2,1,2025,0.192411146
KARPATHOS,Karpathos,CO2,1,2030,0.192411146
KARPATHOS,Karpathos,CO2,1,2035,0.192411146
KARPATHOS,Karpathos,CO2,1,2040,0.192411146
KARPATHOS,Karpathos,CO2,1,2045,0.192411146
KARPATHOS,Karpathos,CO2,1,2050,0.192411146
EL65,KORINTHOS_POWER,CO2,1,2023,0.095153753
EL65,KORINTHOS_POWER,CO2,1,2025,0.095153753
